tenure,contract,internetservice,paymentmethod,onlinesecurity,techsupport,phoneservice,paperlessbilling,churn
1,month-to-month,dsl,electronic_check,no,no,no,yes,0
34,one_year,dsl,mailed_check,yes,no,yes,no,0
2,month-to-month,dsl,mailed_check,yes,no,yes,yes,1
45,one_year,dsl,bank_transfer_(automatic),yes,yes,no,no,0
2,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
8,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
22,month-to-month,fiber_optic,credit_card_(automatic),no,no,yes,yes,0
10,month-to-month,dsl,mailed_check,yes,no,no,no,0
28,month-to-month,fiber_optic,electronic_check,no,yes,yes,yes,1
62,one_year,dsl,bank_transfer_(automatic),yes,no,yes,no,0
13,month-to-month,dsl,mailed_check,yes,no,yes,yes,0
16,two_year,no,credit_card_(automatic),no_internet_service,no_internet_service,yes,no,0
58,one_year,fiber_optic,credit_card_(automatic),no,no,yes,no,0
49,month-to-month,fiber_optic,bank_transfer_(automatic),no,no,yes,yes,1
25,month-to-month,fiber_optic,electronic_check,yes,yes,yes,yes,0
69,two_year,fiber_optic,credit_card_(automatic),yes,yes,yes,no,0
52,one_year,no,mailed_check,no_internet_service,no_internet_service,yes,no,0
71,two_year,fiber_optic,bank_transfer_(automatic),yes,no,yes,no,0
10,month-to-month,dsl,credit_card_(automatic),no,yes,yes,no,1
21,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,0
1,month-to-month,dsl,electronic_check,no,no,no,yes,1
12,one_year,no,bank_transfer_(automatic),no_internet_service,no_internet_service,yes,no,0
1,month-to-month,no,mailed_check,no_internet_service,no_internet_service,yes,no,1
58,two_year,dsl,credit_card_(automatic),no,yes,yes,yes,0
49,month-to-month,dsl,credit_card_(automatic),yes,yes,yes,no,0
30,month-to-month,dsl,bank_transfer_(automatic),yes,no,yes,yes,0
47,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
1,month-to-month,dsl,electronic_check,no,no,no,no,1
72,two_year,dsl,credit_card_(automatic),yes,yes,yes,yes,0
17,month-to-month,dsl,mailed_check,no,no,yes,yes,1
71,two_year,fiber_optic,credit_card_(automatic),yes,yes,yes,yes,0
2,month-to-month,fiber_optic,credit_card_(automatic),no,no,yes,yes,0
27,one_year,dsl,mailed_check,yes,yes,yes,no,0
1,month-to-month,no,bank_transfer_(automatic),no_internet_service,no_internet_service,yes,no,0
1,month-to-month,dsl,bank_transfer_(automatic),no,no,yes,no,0
72,two_year,fiber_optic,bank_transfer_(automatic),yes,yes,yes,no,0
5,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
46,month-to-month,fiber_optic,credit_card_(automatic),no,no,yes,yes,0
34,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
11,month-to-month,fiber_optic,bank_transfer_(automatic),no,no,yes,yes,1
10,one_year,dsl,mailed_check,no,no,yes,no,0
70,two_year,dsl,credit_card_(automatic),yes,no,yes,yes,0
17,one_year,no,mailed_check,no_internet_service,no_internet_service,yes,no,0
63,two_year,dsl,credit_card_(automatic),yes,yes,yes,yes,0
13,month-to-month,dsl,electronic_check,yes,yes,yes,yes,0
49,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,0
2,month-to-month,dsl,mailed_check,no,no,yes,no,0
2,month-to-month,fiber_optic,electronic_check,no,no,yes,yes,1
